"7f38";"event val error!";
"7f4b";"A small, reasonably priced
sword. Handles well, but
not especially powerful.";
"7f9a";"A long sword with a steel
blade. Recommended for
serious combat.";
"7fdd";"A sword from the far east.
Its exquisite curved blade
is extremely sharp.";
8029;"A sword forged from a unique
alloy. Its blue blade has a
keen cutting edge.";
8077;"A golden sword, imbued with
divine fire. It shimmers
with destructive heat.";
"80c5";"The strongest sword of all.
Its blade glows, suffused
with the magic of Cleria.";
8117;"A hard wooden shield with
metal fittings. Not bad, but
also not particularly good.";
"816c";"A small metal shield. Strong
and handles well, but only
of real use to beginners.";
"81c0";"A large shield that covers
half the body. Difficult to
handle, but defends well.";
8213;"A shield made of the finest
iron. Very sturdy, offering
excellent defense.";
8260;"A golden shield of immense
strength. Offers protection
against any physical attack.";
"82b6";"A shield of Cleria. Offers
top-rate defense, along with
the Goddesses' blessings.";
"830a";"Finely woven chain mail.
Deflects sword strikes, but
is weak to heavy blows.";
8359;"A breastplate crafted from
steel, offering good defense
and maneuverability.";
"83a8";"Armor of hammered steel.
Heavy, but fully covers the
body, offering high defense.";
"83fc";"Armor made from a unique
metal. Its reflective resin
deflects most attacks.";
"844a";"Golden armor, boasting
superb defense. Weaker
blows can't even scratch it.";
8497;"Cleria armor; stronger than
any other. Worn by he who is
chosen by the Goddesses.";
"84eb";"Magic of Tovah, priest
of Strength. Transforms
willpower into fire.";
8531;"Magic of Dabbie, priest of
Light. Illuminates all that
is hidden.";
8575;"Magic of Hadal, priest of
Earth. Transports the user
to select towns or villages.";
"85c9";"Magic of Mesa, priest
of Time. Freezes the
flow of time itself.";
"860b";"Magic of Gemma, priest of
Knowledge. Makes Adol a Roo,
letting him talk to demons.";
8660;"Magic of Fact, priest of
Spirit. Creates a barrier
that none can penetrate.";
"86ae";"A feather cloak worn by
spirits of legend. Brings
healing power to its wearer.";
"86ff";"A hawk idol with piercing
blue eyes. Focuses the
power of fire on its target.";
"874f";"A falcon idol with piercing
red eyes. Focuses fire magic
with greater accuracy.";
"87a1";"A shiny ring made of Cleria,
imbued with the power of
the Goddesses' protection.";
"87f4";"Has a soft green hue. When
worn, it calms the soul and
soothes away one's troubles.";
"884a";"A ring worn by a Goddess.
Imbued with the power to
purify evil.";
"888c";"One of the six Books of Ys.
Written by Hadal, the Priest
of Earth.";
"88d1";"One of the six Books of Ys.
Written by Tovah, the Priest
of Strength.";
8919;"One of the six Books of Ys.
Written by Dabbie, the
Priest of Light.";
"895f";"One of the six Books of Ys.
Written by Mesa, the
Priest of Time.";
"89a2";"One of the six Books of Ys.
Written by Gemma, the
Priest of Knowledge.";
"89eb";"One of the six Books of Ys.
Written by Fact, the Priest
of Spirit.";
"8a30";"A stone tablet describing
the Books of Ys and the
Sanctuary of Toal.";
"8a77";"A cane made from fine, old
wood. In Ys, it served as
proof of a great leader.";
"8ac7";"A mineral with a dull sheen.
Worthless now, but can be
refined to top-tier steel.";
"8b1b";"Frozen ice crystals. If used
in a moist atmosphere, the
water will solidify.";
"8b6a";"A key of dull brass.
It'll open most of the
doors in the Shrine.";
"8bad";"A rusted iron key. Opens
the Water Control Room
beneath the Shrine.";
"8bf3";"Magic earrings with the
power to amplify even the
faintest of sounds.";
"8c3b";"A mysterious shell given to
Adol by Hadat. Allows for
long-distance communication.";
"8c90";"A pass to the north part of
the Shrine. If shown to the
guard, he'll open the gate.";
"8ce6";"Blue-jeweled necklace. Use
at the Goddess statue to
reach the Central Shrine.";
"8d36";"Red-jeweled necklace. Use
at the Goddesses' statues to
enter the Shrine's Core.";
"8d88";"Reah's harmonica. Its
clear timbre has the
power to dispel evil.";
"8dcb";"An ominous looking bell
shaped like a skull. Its
evil sound summons demons.";
"8e19";"When read before the
Goddesses' statues, their
guidance will be granted.";
"8e64";"A beautifully-decorated
mirror with the power
to dissolve foul illusions.";
"8eb0";"A jet black gemstone of
profound magic, housing an
unnatural flame at its core.";
"8f02";"A sacred vessel that
purifies water, giving it
the ability to dispel evil.";
"8f4f";"A bust in the form of a
holy woman from ancient
times. Provides healing.";
"8f9a";"An old Mattock. Can break
through fragile walls and
clear away rubble.";
"8fe3";"A letter to Dr. Flair, from
Banoa of Lance Village.";
9019;"A cure for Lilia's sickness,
made from Celceta Flower
and Roda Fruit.";
9061;"Shoes made with stone soles.
Grants their wearer perfect
stability on icy slopes.";
"90b5";"A blessed leaf from the Roda
Tree. Has the ability to
filter out poisonous gas.";
9107;"A mysterious potion which
can miraculously revive the
dead. Only one vial exists.";
"915b";"A mysterious, magical wing.
Allows its user to return to
previously-visited locales.";
"91b2";"A medicine found all
over Ys. Has the power
to heal minor wounds.";
"91f6";"A succulent red apple.
Satisfies hunger and
restores health.";
9235;"A blessed fruit from the
Roda Tree. One bite will
restore all MP.";
9279;"Pink, wild and grows
almost anywhere. Its scent
soothes a troubled mind.";
"92c4";"Has translucent blue petals
and blooms in areas with
no sunlight. Revitalizing.";
9316;"A red berry, as shiny as a
jewel. Its bitter flavor and
fresh scent cure fatigue.";
"936a";"Smoked meat of the finest
quality. Its delicious
flavor restores strength.";
"93b7";"Tasty lean meat. If roasted
with salt and eaten, it can
do a body good!";
9401;"Baked to a light brown
color. A bite of this will
restore strength instantly.";
9451;"A pie made from fresh
cruberries. A delicacy with
a sweet, yet tart flavor.";
"949f";"A vial filled with a murky
blue liquid. Gives insight
on defeated enemies.";
"a9bb";"It's locked.";
"a9d0";"It's empty.";
"c5c2";"#c2#It's locked.";
"c5e4";"#c2#The door is locked.";
"c632";"#c2#It's sealed with a
powerful force.";
"c74d";"#c2#It's sealed with a remarkably
strong force.";
"c790";"#c0#Acquired [#c2#%s#c##c0#].";
"c7c1";"#c0#Acquired [#c2#%s#c##c0#].";
"c7f3";"#c0#Acquired [#c2#%s#c##c0#].";
"c824";"#c0#Acquired [#c2#%s#c##c0#].";
"c860";"#c0#Acquired [#c2#%s#c##c0#].";
"c89c";"#c0#Acquired [#c2#%s#c##c0#].";
"c8ce";"#c0#Acquired [#c2#%s#c##c0#].";
"c90d";"#c0#Acquired [#c2#%s#c##c0#].";
"c941";"#c0#Acquired [#c2#%s#c##c0#].";
